IncidentID,County,RdwyNumber,RdwyType,Street,RoadwayName,StreetSfx,StreetDir,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,KABCO,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Intersection Crash,Bicyclist,Pedestrian,Motor Vehicles
26143208,CAMPBELL,US0027,USRoute,,YORK,ST,,39.08618722,-84.49068039,21.707,1/5/2020 0:00,2106,2,2,0,0,O,CLEAR,DRY,0,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,0,0,0,1
26149353,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,38.97234222,-84.39217735,11.082,1/5/2020 0:00,150,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26165575,CAMPBELL,KY0009,StateRoute,,AA,HWY,,39.00818491,-84.46157102,16.117,1/5/2020 0:00,30,1,1,0,1,C,CLOUDY,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,0,0,0,1
26153127,CAMPBELL,US0027,USRoute,4679,ALEXANDRIA,PIKE,,39.02139275,-84.43927197,15.341,1/5/2020 0:00,1242,2,2,0,1,B,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26141527,CAMPBELL,,OTHR,80,BROADWAY,ST,,39.07766228,-84.48779977,0.111,1/5/2020 0:00,1610,2,2,0,0,O,CLEAR,DRY,0,HEAD-ON COLLISION,HEAD ON,STRAIGHT & GRADE,DAYLIGHT,0,0,0,1
26165898,CAMPBELL,KY1892,StateRoute,35,CAROTHERS,RD,,39.08498064,-84.48054218,2.366,1/6/2020 0:00,1730,2,2,0,0,O,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DAYLIGHT,0,0,0,1
26148234,CAMPBELL,KY1120,StateRoute,400,11TH,ST,W,39.08179307,-84.49538251,0.285,1/6/2020 0:00,1525,3,3,0,0,O,CLEAR,DRY,1,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26157601,CAMPBELL,KY1892,StateRoute,85,GRAND,AVE,N,39.0782162,-84.46467048,1.232,1/6/2020 0:00,2331,1,1,0,0,O,CLEAR,DRY,0,,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/ON,0,0,0,1
26178321,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,39.03373583,-84.45322028,16.506,1/6/2020 0:00,727,2,2,0,1,C,CLEAR,DRY,0,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26147315,CAMPBELL,,OTHR,,ALEXANDRIA,PIKE,E,39.01987986,-84.43042119,0.279,1/6/2020 0:00,715,1,1,0,0,O,CLOUDY,DRY,0,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26150342,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,38.91298133,-84.38659597,6.939,1/6/2020 0:00,1638,2,2,0,1,C,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,1,0,0,1
26157857,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,38.83759397,-84.36965294,1.162,1/7/2020 0:00,1148,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26155378,CAMPBELL,KY0009,StateRoute,509,LICKING,PIKE,,39.05525905,-84.48720975,20.194,1/7/2020 0:00,1933,2,2,0,0,O,CLOUDY,DRY,0,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26164001,CAMPBELL,KY0008,StateRoute,336,FAIRFIELD,AVE,,39.1066144,-84.48286261,1.901,1/7/2020 0:00,1923,2,2,0,0,O,CLOUDY,DRY,1,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26156858,CAMPBELL,,OTHR,,WASHINGTON,AVE,,39.0938358,-84.49165403,0.149,1/7/2020 0:00,1103,2,2,0,0,O,CLEAR,DRY,0,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26162429,CAMPBELL,KY0471,StateRoute,,KY471,,,39.04263753,-84.45532893,,1/7/2020 0:00,1640,2,2,0,2,C,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & GRADE,DAYLIGHT,0,0,0,1
26156205,CAMPBELL,I 0471,Interstate,,471 NORTH ON RAMP,,,39.08333367,-84.469938,0.09,1/7/2020 0:00,2245,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH FIXED OBJECT NOT IN GORE ,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26209878,CAMPBELL,KY1892,StateRoute,,CAROTHERS,RD,,39.08640848,-84.47807326,2.197,1/8/2020 0:00,1855,2,1,0,1,B,CLEAR,DRY,1,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26165078,CAMPBELL,,OTHR,,AVE OF CHAMPIONS,,,38.96127054,-84.39237003,0.025,1/8/2020 0:00,1423,2,2,0,0,O,CLEAR,DRY,0,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & GRADE,DAYLIGHT,0,0,0,1
26159523,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,39.06425887,-84.46202449,19.368,1/8/2020 0:00,1211,2,2,0,0,O,CLEAR,DRY,0,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26170210,CAMPBELL,KY0009,StateRoute,,AA,HWY,,39.00851156,-84.46305637,16.205,1/8/2020 0:00,714,2,2,0,0,O,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26168754,CAMPBELL,I 0275,Interstate,,I275 E,,,39.02293214,-84.48840543,77.522,1/8/2020 0:00,1744,2,2,0,0,O,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26168885,CAMPBELL,KY0009,StateRoute,,LICKING,PIKE,,39.02151528,-84.48117119,17.647,1/8/2020 0:00,1544,3,3,0,0,O,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26162383,CAMPBELL,KY1892,StateRoute,,CAROTHERS,RD,,39.08638123,-84.47727781,2.154,1/8/2020 0:00,1803,2,2,0,0,O,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26168112,CAMPBELL,KY0008,StateRoute,,MARY INGLES,HWY,,39.05314024,-84.43155296,8.19,1/8/2020 0:00,2002,1,1,0,0,O,CLEAR,ICE,0,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,0,0,0,1
26156451,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,38.85250068,-84.38250144,2.407,1/8/2020 0:00,400,1,1,0,0,O,CLOUDY,DRY,0,COLLISION WITH ANIMAL IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,1,0,0,1
